 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698537934.281799294] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537934.287265367] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.290084405] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.296517490] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537934.300936549] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698537934.310428675] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537934.314534730] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537934.318445782] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698537934.311435689] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.315494743] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537934.312581704] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537934.316697759] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537934.320586811] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698537934.325136871] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.334744999] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.342958108] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537934.346180151] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537934.350564210] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537934.354316260] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.363131377] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537934.361059349] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.370711478] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.375811546] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537934.382511635] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537934.391485754] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537934.395336806] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537934.399255858] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698537934.393799785] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.397745838] [robot]: not ready
