 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698530276.518635076] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698530276.519145078] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530276.525368107] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.525773109] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.538506169] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698530276.541631183] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530276.542060185] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.546106204] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.560057269] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.560374271] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530276.571262322] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530276.575900343] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530276.578475355] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530276.580841367] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530276.584010381] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530276.584945386] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530276.585696389] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530276.589416407] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530276.592235420] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.594194429] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530276.599503454] [robot]: not ready
