 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698540147.770838606] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540147.775057669] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.785257822] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540147.789366884] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540147.786598842] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.790251897] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.787251852] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.791180911] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540147.807022149] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.808046164] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698540147.815098270] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540147.819352334] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.817807311] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.821606368] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540147.822703384] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.826191437] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.829038479] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698540147.831336514] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.842745685] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.854254858] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.859480936] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540147.871322114] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.875251173] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.878768226] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698540147.873292144] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.877819212] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540147.890284399] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.894358460] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.890528402] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.895177472] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698540147.909705690] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.916107786] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.919772841] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540147.924912919] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.928849978] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540147.932278029] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540147.910748706] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540147.915582779] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540147.927366955] [arm]: not ready
