 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698533017.631977578] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533017.644256473] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533017.651036415] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698533017.655674375] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533017.657090363] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698533017.663068312] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533017.664278302] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.668097269] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.677765186] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.680628162] [robot]: success
