 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698542425.981227097] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542425.987235914] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.991309790] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.981809079] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.985720960] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542425.999573539] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542426.004597386] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542426.003018434] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542426.014090098] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542426.018066977] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542426.018948950] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542426.022858831] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542426.023064825] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542426.033928495] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542426.037807377] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542426.035683441] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542426.040124306] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542426.044299180] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542426.045370147] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542426.048527051] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698542426.049023036] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542426.055913827] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542426.059922705] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542426.062368630] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542426.065326541] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542426.069624410] [robot]: Doing a_deposit
