 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698534927.580614373] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534927.584674311] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.582572343] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534927.586470284] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534927.592023200] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.593939171] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534927.609058942] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.613327877] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534927.619179789] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534927.624808703] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.629917626] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534927.634190561] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534927.638486496] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534927.632029594] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534927.635900535] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534927.647621358] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.667976050] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534927.672795977] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698534927.687457754] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534927.693773659] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534927.697447603] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.704956489] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534927.705254485] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534927.713710357] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.723698206] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698534927.725521178] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698534927.732223076] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.742582920] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.746911854] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534927.744332893] [environment]: Action: a_navto
