 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698530969.486811313] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.497444611] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530969.501154715] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530969.505991851] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.510396974] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.521004271] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530969.521255278] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.525665402] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530969.529601512] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.533607624] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530969.538187752] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.543049889] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530969.547177004] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.551625129] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530969.554286203] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530969.556804274] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530969.559336345] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530969.568166592] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530969.573182733] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530969.575398795] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530969.577914865] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530969.580716944] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530969.583054009] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.594619333] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530969.594946342] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530969.598715448] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530969.606109655] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530969.607949706] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530969.610230770] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698530969.611775814] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530969.618574004] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530969.619144020] [nurse]: Action: a_deposit
