 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698536429.615970829] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536429.626069084] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698536429.629751176] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.633398268] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698536429.626448093] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.630482195] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536429.634492296] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536429.638668401] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.649172666] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536429.663690032] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698536429.670268198] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.674064293] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.686145598] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698536429.695947845] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698536429.697091874] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.700965971] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.702021998] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536429.709594189] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698536429.711793244] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.716958374] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536429.721038477] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.716212356] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536429.720522464] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698536429.734440815] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536429.738636921] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536429.743524044] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698536429.738616920] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.746451118] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536429.756488371] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536429.769688703] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536429.773536800] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536429.777230893] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536429.767839657] [arm]: not ready
