 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698529656.212209395] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529656.227417612] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529656.233697702] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529656.237199752] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698529656.248792918] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529656.253587986] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529656.257847047] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529656.261686102] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529656.252033964] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.257840047] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.261685102] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529656.264667145] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.269637216] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.278606344] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.283416413] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529656.286667459] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.290690517] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.294914577] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.296269596] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529656.299039636] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529656.303377698] [arm]: Doing a_pick_up_sample
