 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540279.679475881] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.684419943] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540279.689024001] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.692990051] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.700684148] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.705184205] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540279.714864326] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698540279.706158217] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540279.723212431] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698540279.724493447] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540279.731720538] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540279.732067543] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.736813602] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540279.741441661] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.745829716] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540279.755825842] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698540279.763513938] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.776305099] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.786473227] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.790487277] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.797498366] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540279.801110411] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540279.810127524] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.814139575] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540279.811773545] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540279.830351779] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.834321829] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.842247928] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.846612983] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.849844024] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540279.854719085] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.859000139] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540279.863068190] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540279.864706211] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540279.867027240] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540279.868460258] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.878571385] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.882555435] [arm]: Action result: False
