 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528415.646320210] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528415.652918343] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.654439373] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528415.657994445] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.663972566] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528415.669270672] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.673811764] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698528415.676008808] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528415.684677983] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528415.697052233] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528415.705762408] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528415.715275600] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528415.718021656] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.723035757] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.728365864] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528415.734407986] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528415.744823196] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.761114525] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.783838983] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528415.786942046] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.792413156] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.797683262] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.799143292] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528415.801715344] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528415.808350478] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528415.809448500] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528415.813312578] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528415.832637967] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698528415.842103158] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528415.857198463] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.875135825] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.877454871] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528415.890996145] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.895530236] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528415.899391314] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.891881162] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.896535256] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.912659581] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.918293695] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528415.933250997] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.933965011] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528415.938211097] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528415.957858493] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698528415.960747551] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528415.970957757] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.988497111] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.993460211] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.003909422] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528416.012852601] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528416.013774620] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528416.023088806] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528416.019146727] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528416.023311811] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528416.023482814] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528416.033655018] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528416.038309112] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528416.040240150] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528416.044719240] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528416.044751241] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698528416.055328453] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528416.056899484] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.062792602] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.074338834] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528416.078864925] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.081937986] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698528416.086685082] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528416.093936227] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528416.105813465] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528416.106789485] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528416.110514559] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.116335676] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698528416.113925628] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528416.120616762] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528416.124618842] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698528416.134193034] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698528416.135617063] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528416.142546202] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528416.145321257] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528416.154049432] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528416.166022672] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528416.179536943] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528416.184349040] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.189881151] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528416.189885151] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528416.196647286] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528416.206941493] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528416.212072596] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528416.223234819] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528416.224951854] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698528416.230721970] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528416.233741030] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528416.239769151] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528416.255750471] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528416.261358584] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528416.265894675] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528416.276090879] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698528416.282617010] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528416.285686072] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528416.290214162] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528416.303293425] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528416.308945538] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528416.325716874] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528416.327313906] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528416.338782136] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528416.352036402] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528416.358068523] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528416.368627735] [arm]: Doing a_pick_up_sample
