 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698535898.976006104] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698535898.973122071] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.977157117] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535898.974464086] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535898.978604133] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.987790238] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535898.992071287] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535898.989699260] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.994584315] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535899.002401404] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535899.013374529] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535899.022971637] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535899.024830658] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535899.035563780] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698535899.042938864] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535899.043270867] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535899.054500995] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535899.062373084] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535899.062695087] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535899.065208116] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535899.079217275] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535899.085742349] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535899.090432402] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535899.101848531] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535899.105269570] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535899.109107613] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535899.111320638] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535899.120208739] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535899.120728745] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535899.130841860] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698535899.131035862] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535899.131394866] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535899.137305933] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535899.141371979] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535899.141371979] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535899.145122021] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535899.142415991] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535899.146888041] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698535899.159068179] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535899.162916223] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535899.159839188] [arm]: not ready
