 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698532352.496420376] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532352.498589410] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698532352.502193467] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532352.505984527] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532352.513325643] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532352.517484709] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.521617775] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.526113846] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532352.535040987] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.541343087] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.545461152] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532352.552210259] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.552318260] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532352.557001334] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.561721409] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.566814490] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532352.568515517] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532352.577254655] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532352.577962666] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698532352.577964666] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532352.581458721] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532352.588225828] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532352.591356878] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.595361941] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532352.596709963] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698532352.604222081] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.611498197] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.621167350] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.622270367] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532352.625319415] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.627392448] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.635754580] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532352.638119618] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532352.639652642] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532352.642117681] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.643576704] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532352.652192840] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.654232873] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.661306985] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698532352.664495035] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.668672101] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698532352.673518178] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532352.677575242] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698532352.678540257] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.678863262] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532352.681966311] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532352.683971343] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532352.692719482] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.702914643] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.709666750] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532352.718868895] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.724634987] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.729641066] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.735555159] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532352.742149264] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698532352.742995277] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532352.747950355] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532352.750022388] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.761733574] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.773873766] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.780377868] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532352.781410885] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698532352.793863082] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532352.799491171] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532352.805384264] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.812560378] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.818755476] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.825428581] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532352.833732713] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.839518804] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532352.839692807] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.846029907] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.853727029] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.861367150] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.866838236] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532352.867765251] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532352.876837395] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532352.878735425] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.886611549] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.892625644] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.898412736] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532352.904478832] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698532352.909242907] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.915380004] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.925205160] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.930794248] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.935154317] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.939161381] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532352.935346320] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532352.939091380] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532352.945565482] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.949177539] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.958334684] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.962126744] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532352.969739864] [arm]: Action: a_pick_up_sample
