 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698527263.472848695] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.477572142] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527263.475682963] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698527263.477206107] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.490703385] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.497139994] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527263.502024457] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.506350866] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527263.510378247] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.514547642] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.518503016] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698527263.526858807] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.532931382] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.536390710] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527263.540394089] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527263.543673399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527263.544680495] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698527263.546763692] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527263.550003999] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.550643059] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698527263.556602623] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698527263.560783019] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698527263.558659818] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527263.562719202] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.558874838] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.562926222] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527263.570218912] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527263.573381211] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698527263.574654332] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.576717527] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527263.578378685] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.586267431] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527263.590482830] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527263.592962065] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.596537404] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527263.597306476] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527263.602681985] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698527263.619485576] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527263.625691163] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.629171493] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.641316643] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527263.644077904] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.646311115] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527263.660296439] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.660782485] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698527263.670057363] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.683704655] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.700257222] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527263.673988735] [arm]: Doing a_pick_up_sample
