 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698541294.765330664] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541294.769258668] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541294.755716654] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698541294.760945660] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541294.765018663] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541294.770206669] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541294.773367672] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698541294.773956672] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541294.777106675] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541294.781899680] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698541294.777650676] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541294.778732677] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698541294.784082682] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541294.785911684] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541294.789581688] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541294.794376692] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698541294.790746689] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541294.793736692] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698541294.799111697] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541294.803433701] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541294.809703707] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698541294.812090710] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541294.813790711] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541294.819414717] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541294.822030719] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541294.836234733] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698541294.827153724] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.831695729] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541294.838473735] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.832497730] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698541294.842704740] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541294.850234747] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541294.858387755] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.868979765] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.878352774] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541294.886042782] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541294.895310791] [nurse]: Doing a_authenticate_nurse
