 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698539489.918999995] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.926351929] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539489.930459893] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539489.926525928] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.930481892] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.944567767] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.960775623] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.966010576] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.971569526] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.984315413] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698539489.992627339] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698539489.996313306] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539490.005079228] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539490.009101192] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.993912328] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698539489.998673285] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539490.002736249] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539490.006569215] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539490.017369119] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539490.033657974] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539490.037557939] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539490.049722831] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539490.054031792] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539490.050353825] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539490.054199791] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539490.064227701] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539490.070477646] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698539490.071264639] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539490.074441610] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539490.082537538] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698539490.089243479] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539490.096369415] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539490.097983401] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539490.105281336] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539490.114804251] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539490.118854215] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539490.117415228] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539490.122484183] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539490.130971107] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539490.134456076] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539490.145766975] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539490.149533942] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539490.145826975] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539490.149858939] [arm]: Doing a_pick_up_sample
