 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698528276.404442040] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.409263158] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.413546263] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528276.414341283] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528276.414676291] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.421408456] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528276.421691463] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698528276.427025594] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.431328700] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.445219041] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528276.447758103] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.449339142] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528276.453735250] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.458798374] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528276.463398487] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.469726642] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528276.475030772] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528276.477187825] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528276.481028920] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528276.483568982] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528276.486085044] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698528276.495353271] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.506952556] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528276.512590695] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.518691844] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.525327007] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528276.530860143] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528276.533045197] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528276.535295252] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.538146322] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.552805682] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698528276.557467796] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528276.562413918] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.566155010] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.563372941] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528276.567263037] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528276.570301111] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528276.576615266] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698528276.580338358] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528276.576925274] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528276.580684366] [arm]: Doing a_pick_up_sample
