 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698529482.633584093] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529482.637211154] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.652740417] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.654200442] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529482.655460464] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529482.655950472] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.660477549] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.661126560] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529482.665074627] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529482.667853674] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698529482.670335716] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529482.671268732] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.684301953] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529482.685847979] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529482.691527075] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.703797283] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529482.710874403] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.716612501] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529482.716983507] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.722952608] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.728100695] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529482.731500753] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.740822911] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529482.744852980] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698529482.739883895] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529482.744272970] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529482.743236952] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.752752113] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529482.759257224] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698529482.761031254] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529482.764276309] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.766126340] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.769683401] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529482.772328445] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529482.773275462] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529482.779177562] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.780586585] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529482.782683621] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529482.782667621] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529482.786550687] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529482.789650739] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529482.790458753] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529482.796523856] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.807046034] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529482.801267936] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529482.807660045] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529482.809960084] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698529482.818197223] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529482.818274225] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.828312395] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529482.832272462] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529482.829393413] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529482.836563535] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529482.830839438] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529482.834486500] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529482.831937456] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529482.841340616] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529482.842437634] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529482.847337717] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529482.851037780] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529482.852689808] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529482.855001847] [robot]: not ready
