 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698537356.777793506] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537356.781972637] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537356.788624847] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537356.789414872] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.793543002] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.801705259] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.806083397] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.810537538] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537356.814459661] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.822128903] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.828255096] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.832099217] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537356.835323319] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537356.839708457] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537356.840462481] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.844629612] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.851233820] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.855401951] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.862190165] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.866242293] [robot]: not ready
