 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698528645.287901964] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.288007965] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528645.294184039] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528645.298880095] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528645.300833119] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528645.307286196] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528645.310991241] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528645.311678249] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528645.320540355] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698528645.328634452] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528645.335657536] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.346715669] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528645.349600704] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.350804718] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528645.353071745] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528645.360261831] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528645.363162866] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528645.364563883] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528645.370005948] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528645.371402965] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528645.376715029] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528645.380768077] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528645.388488170] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528645.392447217] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528645.392596219] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528645.392884222] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528645.395348252] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528645.399517302] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528645.404539362] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528645.409613423] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.410347432] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528645.416255503] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698528645.431922691] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698528645.432579698] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528645.434562722] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528645.437149753] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528645.438940775] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528645.448724892] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528645.455401972] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528645.458560010] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528645.464271078] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528645.465851097] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528645.467223114] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528645.474920206] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528645.475544213] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698528645.478551250] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528645.479244258] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528645.485722336] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528645.493643430] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.501591526] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528645.507493597] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528645.511776648] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528645.515747695] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528645.519253738] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528645.522878781] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528645.523348787] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528645.534564921] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.536450944] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528645.540174988] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528645.541666006] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528645.545193049] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528645.555079167] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528645.557334194] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528645.561498244] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528645.561799248] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698528645.564118275] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528645.566564305] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528645.568704330] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528645.569689342] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528645.573529388] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528645.579657462] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528645.579994466] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528645.585697534] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.595979657] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528645.602055730] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528645.606291781] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698528645.609918824] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528645.615075886] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528645.610000825] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528645.611043838] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.618745930] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528645.623365986] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528645.627587036] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528645.628851051] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698528645.634397118] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528645.638359165] [environment]: Receiving message: monitor
