 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698540539.983847123] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540539.990259169] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540539.985597136] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540539.996817217] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540540.010509316] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698540540.011765325] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540540.015011348] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540540.022728404] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540540.031954470] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540540.033167479] [nurse]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.059606670] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.042968550] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.046785577] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.053258624] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698540540.043285552] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.047045579] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.054540633] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540540.058471662] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540540.064942708] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540540.069158739] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540540.073207768] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540540.080637821] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540540.086703865] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.090812895] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540540.093586915] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540540.098876953] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.107381014] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.112142049] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.108441022] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.115172071] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540540.110137034] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540540.122114121] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.122328122] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540540.139443246] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.146358295] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.150164323] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540540.148469311] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540540.153070344] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540540.156612369] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540540.166062438] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540540.170402469] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698540540.172703485] [nurse]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.194050639] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.175212504] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.179671536] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540540.183647564] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.178863530] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.182872559] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.192610629] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.195918653] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540540.197640665] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540540.202552701] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.206746731] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540540.220311829] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.231221907] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.235011935] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.233687925] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.236986949] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.240926977] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.245441010] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540540.249282038] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.251148051] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.254180073] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.257423096] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540540.261304124] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540540.269934187] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.285094296] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.294693365] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.299279398] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698540540.305026440] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698540540.294981367] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.299279398] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540540.308072462] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540540.311903489] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540540.309760474] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540540.318402536] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540540.321330557] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540540.333471645] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.336088664] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540540.358210823] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.366940886] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540540.372122924] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.379486977] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540540.383995009] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698540540.384139010] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.389327048] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540540.395586093] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540540.396219097] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540540.401017132] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698540540.402496143] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.406193169] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540540.419417265] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540540.422114284] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.426294314] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.430217342] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.434500373] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540540.438656403] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540540.451077493] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540540.454599518] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540540.467104608] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540540.470720635] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.478466690] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540540.481986716] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540540.485918744] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540540.498962838] [arm]: Doing a_pick_up_sample
