 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698541065.955359680] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541065.960027628] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.966314556] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541065.974309466] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698541065.978683417] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541065.979778404] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541065.982915369] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541066.007639089] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541066.012382035] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541066.018695964] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541066.024299901] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698541066.033830793] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541066.042349697] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541066.045230664] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698541066.046330652] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541066.050415606] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541066.057548525] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541066.065085440] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698541066.066918419] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541066.074501333] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541066.078529288] [robot]: not ready
