 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698528961.771320911] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528961.772506957] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.779164214] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528961.783213370] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528961.787426532] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.782965360] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.787467534] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528961.787351530] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528961.797751931] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528961.799354993] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528961.815061598] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528961.842014638] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698528961.849015908] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528961.854051102] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528961.850781976] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528961.855071142] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528961.857756245] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.864772516] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.868056643] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.862810440] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528961.866676589] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528961.875548932] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528961.878322039] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528961.883614243] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528961.878088030] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528961.882324193] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528961.896274731] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528961.900936911] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528961.905695094] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698528961.900624899] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.905930103] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528961.902793982] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528961.907609168] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528961.922245733] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528961.934344199] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528961.941106460] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528961.945731639] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528961.960596212] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528961.968377512] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528961.972466670] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528961.982655063] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528961.986546213] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.974162735] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528961.976549827] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528961.980443978] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528961.984467133] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528961.987185238] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528961.991896419] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528962.000968769] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528962.011154161] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528962.021881573] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528962.025246703] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528962.029507866] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528962.029623871] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698528962.035786108] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528962.047018539] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528962.055136851] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528962.060371052] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528962.066856301] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.070858455] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.075281625] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698528962.079719796] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528962.083346935] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.088799145] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.093029307] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698528962.058801992] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528962.078927765] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528962.083066924] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528962.069148389] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528962.086714064] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528962.090789221] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528962.105730795] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.106011806] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528962.110308971] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528962.109560942] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528962.130150733] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.133245852] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528962.140371126] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698528962.147798412] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698528962.151888569] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528962.156771756] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528962.158073806] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528962.166999149] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528962.175104461] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528962.182273736] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528962.184220811] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528962.188380971] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528962.188967993] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528962.193406164] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528962.193612172] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528962.202022495] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528962.210445819] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528962.210980839] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698528962.215979031] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528962.220971223] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528962.228683520] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528962.234755753] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528962.241100997] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528962.244364122] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698528962.246982223] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528962.256647594] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528962.262688826] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
