 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528134.804060631] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528134.813464306] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528134.817158749] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528134.822097679] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528134.827582822] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528134.832122596] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.829173444] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528134.832858884] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528134.844736525] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698528134.845938995] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528134.850453759] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528134.851702247] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528134.858052728] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528134.862164335] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528134.863425828] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528134.881215779] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.884941234] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698528134.898884683] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698528134.900269224] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528134.908000244] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528134.909442808] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528134.913950569] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528134.925959262] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528134.932293737] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528134.936854519] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528134.940973128] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698528134.944473496] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528134.944978693] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528134.949355403] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528134.956207081] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528134.960942931] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528134.961577179] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528134.965551732] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528134.982384309] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528134.983395704] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698528134.983736838] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528134.987953485] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528134.989152954] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698528135.005133191] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.005133191] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698528135.009493879] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528135.009558905] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528135.018340304] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528135.025523084] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528135.034384514] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528135.034355503] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528135.035805064] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528135.038577137] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528135.040585915] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528135.041674336] [arm]: Action result: False
