 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698536028.809423155] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.816081182] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.822953210] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.834604256] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.841133282] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.847024306] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698536028.847833309] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.858210351] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.865400380] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536028.865659381] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.875146419] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.884024454] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698536028.888383472] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536028.888369472] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.891991486] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.900663521] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536028.900814521] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.906163543] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.909041554] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536028.915835582] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.919796598] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.926744625] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536028.935510660] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.938175671] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.942566689] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.944556697] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536028.945444700] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698536028.949277716] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698536028.950127719] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.953684733] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536028.964613777] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
