 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698537760.666581928] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537760.666580928] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537760.670423000] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537760.670511002] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.674452076] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698537760.674997086] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537760.678423150] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.678703156] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537760.682819233] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698537760.683056237] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537760.689344355] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698537760.690127370] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537760.699629548] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698537760.701588585] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698537760.702217597] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537760.707650699] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537760.709489733] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698537760.714407826] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537760.716836871] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537760.718063894] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537760.723037988] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537760.726866059] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537760.726980062] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698537760.731974155] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537760.735717225] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537760.736087232] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537760.740102308] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537760.742941361] [arm]: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537760.747980456] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698537760.755842603] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.759821678] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537760.749339481] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537760.756649618] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698537760.760317687] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537760.751211516] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537760.755302593] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537760.759369669] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537760.761317706] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537760.766567804] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537760.771222892] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537760.771361894] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537760.773724939] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.773919942] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537760.778594030] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537760.784633143] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537760.785682163] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537760.791009263] [robot]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537760.797012376] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537760.801972469] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537760.810142622] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537760.831616025] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537760.859970557] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537760.876413865] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537760.886096047] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537760.893418185] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537760.904459392] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537760.904541393] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537760.918812661] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537760.927664827] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698537760.933354934] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537760.937956020] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537760.943282120] [nurse]: Action result: True
