 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534078.460297251] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534078.465372168] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534078.466825144] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.478228956] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.482186891] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.490962746] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.494730684] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.503816535] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.509904434] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.523303214] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.530398097] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.538002971] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.543334884] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.551568748] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.557802645] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.572692400] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.579143294] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.585698186] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.591997082] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.600488942] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534078.605845854] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698534078.606352846] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.619198634] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534078.620510612] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534078.626626512] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534078.628541480] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534078.637534332] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.641828261] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.647957160] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.652221090] [robot]: not ready
