 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698527996.564587358] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.550610437] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527996.571540319] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.575702296] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527996.555754408] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698527996.562581369] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.567223343] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.571364320] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.587872228] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.595518185] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.600390158] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527996.604686133] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.597087176] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.600968154] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527996.604460135] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.613536084] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.618750055] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.627390006] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527996.632547977] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698527996.637165951] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.639523938] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527996.644469910] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.653843858] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527996.658844830] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698527996.664012801] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.670484765] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.675004739] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.682801696] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527996.690245654] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.694199632] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.673151750] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698527996.677658724] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527996.689220660] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527996.693406636] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527996.698307609] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.705488568] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.709769545] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527996.707318558] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527996.717071504] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527996.724062464] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527996.726137453] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698527996.728838438] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.732075419] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.744319351] [nurse]: not ready
