 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698532978.587869807] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532978.598333673] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532978.602236623] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.599417659] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532978.603579605] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532978.609416530] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532978.611901498] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.616644437] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532978.620364390] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.626398312] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532978.630241263] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532978.640430132] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532978.641159122] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.642736102] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532978.646135058] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.646995047] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.649069021] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532978.649218019] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532978.659466887] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532978.660723871] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.667360785] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532978.668746768] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698532978.671247735] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.674800690] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532978.682338593] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.682875586] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532978.692919457] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532978.701114352] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.711195222] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.716057159] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532978.720293105] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.723082069] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.728828995] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.728902994] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532978.741595831] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.748273745] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532978.758188618] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532978.765680522] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532978.770055465] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.766461511] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532978.773912416] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.777381371] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.783319295] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.792979171] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532978.794931145] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.798490100] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698532978.799107092] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.807637982] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.812506920] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698532978.818537842] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532978.820411818] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532978.823210782] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532978.824216769] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532978.828146719] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532978.829935696] [arm]: Doing a_pick_up_sample
