 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698541159.091004032] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541159.094678987] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541159.101508903] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541159.095874972] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541159.103769876] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541159.107767827] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541159.103057884] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541159.104481867] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541159.108379819] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541159.115189736] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541159.119250686] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541159.117082713] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541159.120718668] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698541159.119611682] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541159.123379636] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541159.121623657] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.125276612] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541159.132240527] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541159.136880470] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541159.134850495] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541159.141449415] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541159.141104419] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.152216283] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541159.152216283] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541159.158599205] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541159.157111223] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541159.158948200] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698541159.168265086] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541159.172728032] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541159.174382012] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541159.183358902] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [coordinator-2] [INFO] [1698541159.189790823] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698541159.189932821] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541159.194080770] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541159.195373755] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541159.197116733] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541159.197838724] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541159.206063624] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.208388595] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541159.209819578] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541159.215759505] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698541159.221742432] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698541159.224421399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541159.226096379] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541159.236496251] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541159.237092244] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698541159.241446191] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698541159.242897173] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541159.244197157] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541159.247574116] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.257402996] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698541159.260991952] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541159.261776942] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.264369910] [nurse]: a_open_door
trials-all-1  | [environment-3] [INFO] [1698541159.270345837] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698541159.272393812] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698541159.273730796] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541159.279976719] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541159.288063620] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541159.293842550] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698541159.296084522] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698541159.298593491] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541159.305877402] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698541159.309814354] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541159.313445310] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541159.314536296] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541159.324296177] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698541159.326089155] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541159.330055106] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698541159.331046094] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698541159.332130081] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541159.337093020] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541159.343209945] [robot]: Doing a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541159.347285896] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541159.351024850] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541159.357490771] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541159.358450759] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541159.358896754] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698541159.362703707] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541159.364778682] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541159.371549599] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541159.376955533] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698541159.377274529] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541159.382532464] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541159.388389393] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541159.391723352] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541159.410846118] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541159.415919056] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541159.415971055] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541159.427016920] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541159.436836800] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541159.441906738] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.447607668] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541159.447593668] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698541159.451506620] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541159.461890493] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698541159.470748385] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541159.471633374] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541159.471704373] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541159.479468278] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541159.479619276] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698541159.491164135] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541159.493920101] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541159.497317060] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541159.511037892] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698541159.511240889] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541159.515508837] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541159.516462825] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698541159.520500776] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698541159.521549763] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541159.526099707] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698541159.528032684] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541159.528176682] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541159.541960513] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541159.542755504] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541159.551488397] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541159.556788332] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541159.560302289] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698541159.565600224] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541159.565989219] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541159.567341203] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698541159.571335154] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698541159.580175046] [arm]: not ready
