 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698527303.646410591] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.650576564] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.651559558] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527303.656121528] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.660426500] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527303.664701472] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527303.676724394] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.681474363] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.683285351] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527303.685954334] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698527303.689773309] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527303.690538304] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527303.694143281] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698527303.694827276] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527303.702498226] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527303.706770199] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.707526194] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.714812146] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527303.714884146] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698527303.717957126] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.719472116] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.728033060] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.737392000] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.741713971] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.746063943] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527303.750409915] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.762685835] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.767704802] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527303.770895782] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.755273883] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.777035742] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698527303.782971703] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.785137689] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.789277662] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698527303.794525628] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.798835600] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698527303.802783574] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527303.803238571] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527303.808791535] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.817811476] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.822597445] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.828390408] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527303.833238376] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527303.837218350] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.839102338] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527303.845184298] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527303.853168247] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527303.854424238] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527303.859497205] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527303.861451193] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.870524134] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.874519108] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527303.880836067] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698527303.897131961] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698527303.899147947] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.904296914] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698527303.904980910] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.908632886] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698527303.921041805] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.926472770] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527303.929838748] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.936307706] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.940632678] [robot]: not ready
