 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534212.502012165] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534212.502247161] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.507333080] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.513482982] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.521196859] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.524856800] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534212.528029750] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698534212.538015590] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.552603358] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.554135333] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534212.561997208] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534212.563646181] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.567308123] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.587017809] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.591045744] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.602832556] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.606985490] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.613867380] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534212.620573273] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534212.615878348] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534212.628618145] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534212.637153009] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534212.641057947] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534212.641156945] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.644896885] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.655739712] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.659798648] [arm]: Action result: False
