 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698530449.426046760] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.433431761] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530449.434485761] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530449.438502761] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530449.434992761] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.440846762] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530449.442583762] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530449.447234762] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530449.453070763] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.458616763] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.475788765] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.482044765] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530449.485840765] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530449.486407766] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.490425766] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.499067767] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530449.513663768] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530449.519797768] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530449.521016768] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530449.524171769] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.530593769] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.534671770] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.538035770] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.548071771] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.552126771] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530449.555759771] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530449.548401771] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530449.552889771] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.562431772] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530449.565438772] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.573478773] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530449.573821773] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530449.578051773] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.588092774] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530449.589461774] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530449.593340775] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530449.593378775] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530449.598173775] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530449.603858776] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.610538776] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.616169777] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.624419777] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530449.627344778] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.629038778] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530449.632441778] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698530449.641807779] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530449.647400779] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.656773780] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.663254781] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530449.668764781] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530449.672682782] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530449.676919782] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.671003781] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698530449.674869782] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.683751782] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530449.685912783] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530449.696213784] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530449.687933783] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.692633783] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530449.701562784] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530449.705593784] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.708144785] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530449.709002785] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.711763785] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530449.715893785] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.721543786] [robot]: Deposit
trials-all-1  | [coordinator-2] [INFO] [1698530449.729737786] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698530449.731227787] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530449.732307787] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530449.736563787] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530449.738247787] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.742173788] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530449.751768788] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530449.753257788] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530449.756073789] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698530449.765334790] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530449.769569790] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698530449.777638791] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.780790791] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530449.784395791] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530449.794316792] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530449.797890792] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530449.802054793] [coordinator]: action_complete
