 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540804.762389298] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.778096941] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540804.784705791] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698540804.789713678] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.796317528] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540804.802660384] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.807732269] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540804.814596113] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.824667885] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.828035809] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.823993900] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.827655817] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540804.834605660] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540804.838402574] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540804.835002651] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540804.839312553] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.844187442] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540804.855255191] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540804.858906108] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540804.864942972] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540804.859094104] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540804.866481937] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.872172808] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.881449597] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.884858520] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540804.879795635] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698540804.880727613] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.884546527] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.894092310] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540804.898442212] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.902928110] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540804.898691206] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540804.902784113] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540804.914057857] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540804.920328715] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540804.930367488] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540804.932117448] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.939206287] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698540804.944959157] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698540804.954224946] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540804.958253855] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.953267968] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540804.958197856] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540804.967784639] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.975534463] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.979187380] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540804.983005294] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698540804.972922522] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.996408990] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540805.000183904] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540805.001745869] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540805.008552714] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540805.013989591] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540805.020541443] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540805.025926321] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540805.027829278] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540805.033311153] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540805.037966048] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540805.041738963] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540805.047705827] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540805.054160681] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540805.054148681] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698540805.078526129] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540805.084125002] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540805.086397951] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540805.096687718] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540805.104165549] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540805.108668447] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540805.113854329] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540805.119891192] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540805.127973009] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540805.134197868] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540805.134944851] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698540805.148503544] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540805.157982330] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540805.159318299] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540805.164376185] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698540805.165980148] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540805.181864789] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540805.189835608] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540805.191014581] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698540805.199891380] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540805.206593228] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540805.225316804] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540805.232372645] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698540805.234801589] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540805.244468371] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698540805.248268284] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540805.254103152] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540805.258099062] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540805.271000770] [robot]: door closed
trials-all-1  | [robot-6] [INFO] [1698540805.281262537] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540805.287377399] [robot]: not ready
