 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698535761.083368526] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535761.091077610] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535761.094457647] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698535761.105705769] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698535761.110411821] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535761.111208829] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535761.115549877] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.118069904] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535761.126993002] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535761.130293037] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535761.137475116] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535761.140535149] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535761.146267212] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535761.150336256] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535761.148221233] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.152484279] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.158590346] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535761.154644303] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535761.158390344] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698535761.164400409] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535761.171224484] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535761.175922535] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.175705533] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.185710642] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535761.190417693] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.193035722] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535761.197676772] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535761.206696871] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698535761.206841872] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535761.210399911] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535761.216042973] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535761.217712991] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.221442031] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.232590153] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535761.233407162] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535761.238358216] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535761.242088257] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.238113213] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.242008256] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535761.244919287] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535761.250872352] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535761.251548360] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535761.266378521] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535761.267685536] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535761.267901538] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698535761.274034605] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535761.278746656] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535761.284896723] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.288615764] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.297181857] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.302096911] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.307253967] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.311693016] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535761.298765875] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535761.302928920] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535761.306747962] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535761.315306055] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.317256076] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698535761.327693190] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535761.329808213] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.331646233] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535761.337264294] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535761.334480264] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535761.338275305] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535761.341190337] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698535761.358272524] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698535761.362256567] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535761.371130664] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.379113751] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535761.383090794] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535761.385356819] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535761.392952902] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535761.400641986] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535761.409600083] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698535761.417044164] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535761.424142242] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535761.429396299] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698535761.427318276] [arm]: Action: a_pick_up_sample
