 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540409.923396969] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540409.923940976] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698540409.929313046] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540409.931791079] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.938345165] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.942118214] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540409.946004265] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698540409.958682432] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.963843499] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540409.967810551] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.971477599] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.965782525] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540409.969501574] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698540409.986059791] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698540409.989932842] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540409.989317833] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.992810879] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540410.004831037] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540410.007414071] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540410.016148185] [robot]: door closed
trials-all-1  | [arm-1] [INFO] [1698540410.024225291] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540410.024364292] [coordinator]: Receiving sync message: error,door_closed,Room3
trials-all-1  | [arm-1] [INFO] [1698540410.029191355] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540410.043477542] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540410.029293357] [coordinator]: door_closed
trials-all-1  | [robot-6] [INFO] [1698540410.037984470] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540410.041679519] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540410.049032615] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540410.056847717] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540410.059604753] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698540410.066398842] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540410.072848926] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540410.082520053] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698540410.088086126] [arm]: Action: a_pick_up_sample
