 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698537665.738323672] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537665.743860780] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698537665.753637969] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.757273040] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.760940111] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537665.764364178] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537665.755950014] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537665.759450082] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537665.763089153] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537665.770907304] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537665.776483413] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.788664649] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537665.789585667] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698537665.792828730] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537665.797580822] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537665.801372896] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.805024966] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.799388857] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.803072929] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.813278127] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537665.813902139] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.817634211] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537665.822587307] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698537665.818394226] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537665.835096550] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537665.838680619] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537665.832035490] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537665.835758563] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537665.840261650] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.843646716] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.834876546] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537665.838445615] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537665.843029704] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537665.847197785] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537665.859482023] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537665.864982130] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537665.863523101] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.873856302] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.877490372] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.875146327] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.879136404] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537665.885127521] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537665.894991712] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537665.901340835] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698537665.906302931] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537665.913804077] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537665.919064179] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.923666268] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537665.907739959] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537665.924182278] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.926353320] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537665.937525537] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537665.950912797] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698537665.965102072] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.976242288] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537665.979921360] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.987866514] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537665.992511604] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.995485662] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537665.998377718] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537666.006614878] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537666.008300910] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537666.010894960] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537666.021253161] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537666.025098235] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698537666.024026214] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537666.027799287] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537666.033105390] [arm]: Action: a_pick_up_sample
